# Sent at 2026-04-15 16:00:00 UTC

Time(UTC),Open,High,Low,Close,Volume,QuoteVol,Trades,BuyVol%
04-15 15:00,74151.81,74161.24,74127.55,74145.09,21.4,1590319,2922,63.8
04-15 15:01,74145.09,74169.89,74125.28,74154.48,7.2,535153,2689,43.7
04-15 15:02,74154.47,74231.74,74154.47,74227.21,7.0,523101,3914,61.1
04-15 15:03,74227.22,74242.00,74188.70,74219.22,10.0,741129,3682,36.6
04-15 15:04,74219.21,74219.21,74122.59,74132.70,5.8,426653,3558,13.5
04-15 15:05,74133.11,74139.57,74070.95,74074.48,26.7,1975770,3483,15.4
04-15 15:06,74074.49,74086.00,74017.17,74086.00,10.1,747220,3172,21.0
04-15 15:07,74085.99,74099.73,74000.00,74000.00,10.7,790771,4120,22.8
04-15 15:08,74000.01,74015.46,73976.00,74011.76,5.8,426698,3473,54.1
04-15 15:09,74011.76,74035.44,73988.51,74025.38,12.4,918961,3509,19.1
04-15 15:10,74025.39,74025.39,73977.15,73977.16,10.3,763999,2635,24.2
04-15 15:11,73977.16,74051.65,73977.15,74046.17,8.3,616725,2625,71.2
04-15 15:12,74046.18,74111.82,74036.63,74073.86,22.8,1691727,6143,40.2
04-15 15:13,74073.86,74110.00,74073.85,74091.72,3.9,289330,1997,84.9
04-15 15:14,74091.72,74299.07,74091.71,74275.11,16.5,1221784,5381,89.7
04-15 15:15,74274.27,74298.02,74226.84,74272.00,6.8,507602,4468,64.9
04-15 15:16,74272.00,74277.45,74179.21,74194.25,6.6,487551,3361,44.4
04-15 15:17,74194.24,74194.25,74139.26,74169.42,8.2,608302,3718,27.9
04-15 15:18,74169.42,74169.42,74148.00,74168.04,3.8,281996,1845,70.3
04-15 15:19,74168.04,74189.87,74144.65,74144.65,1.5,112611,1525,60.1
04-15 15:20,74144.66,74144.66,74076.93,74110.43,5.8,430121,2755,33.4
04-15 15:21,74110.43,74153.91,74103.58,74153.91,3.4,248969,1617,53.7
04-15 15:22,74153.90,74165.52,74133.78,74164.55,3.0,224975,1801,55.5
04-15 15:23,74164.56,74166.00,74056.41,74056.41,6.3,469023,3495,23.8
04-15 15:24,74056.42,74056.42,74000.00,74044.18,12.6,935708,3722,42.4
04-15 15:25,74044.17,74096.20,74044.17,74066.25,5.1,376435,2642,71.1
04-15 15:26,74066.25,74083.63,74030.72,74051.64,4.6,340854,2427,26.4
04-15 15:27,74051.65,74068.06,74042.80,74065.10,2.8,208703,1624,62.7
04-15 15:28,74065.11,74065.11,74015.15,74018.85,3.7,274993,2587,18.0
04-15 15:29,74018.85,74026.72,73985.29,74026.71,9.2,680916,2396,39.9
04-15 15:30,74026.71,74026.72,73700.00,73708.90,96.9,7152552,11081,23.2
04-15 15:31,73708.89,73722.41,73580.85,73681.99,74.5,5487180,11544,28.4
04-15 15:32,73681.99,73743.99,73653.50,73742.94,39.0,2876279,6916,33.9
04-15 15:33,73742.94,73742.94,73651.16,73651.39,15.6,1152617,5736,53.7
04-15 15:34,73651.39,73700.00,73638.01,73653.69,13.9,1021841,4222,18.2
04-15 15:35,73653.70,73715.84,73653.69,73708.00,16.0,1176443,4295,32.0
04-15 15:36,73708.00,73748.13,73660.64,73660.64,10.4,765097,4994,17.7
04-15 15:37,73660.64,73728.90,73660.64,73684.06,10.1,744109,3937,45.0
04-15 15:38,73684.05,73753.48,73684.05,73749.36,11.6,857160,4021,49.2
04-15 15:39,73749.36,73752.15,73721.64,73739.90,4.3,319031,2801,44.5
04-15 15:40,73739.89,73786.72,73734.54,73785.41,9.7,716793,2656,75.2
04-15 15:41,73785.40,73882.89,73778.75,73880.74,12.6,933064,5424,72.6
04-15 15:42,73880.79,73880.79,73825.70,73863.87,6.2,454373,3088,55.6
04-15 15:43,73863.87,73950.64,73863.87,73900.01,36.4,2688899,4533,85.3
04-15 15:44,73900.01,73900.01,73853.30,73853.38,11.4,839544,1978,29.8
04-15 15:45,73853.38,73917.08,73819.62,73915.00,11.7,866980,4377,53.0
04-15 15:46,73915.00,73941.16,73894.82,73938.60,7.7,566450,2569,83.1
04-15 15:47,73938.60,73938.60,73883.15,73898.01,6.7,492052,3678,74.2
04-15 15:48,73898.00,73950.00,73898.00,73949.99,6.0,446801,3500,71.2
04-15 15:49,73949.99,73955.55,73914.03,73914.03,11.2,824801,1974,22.1
04-15 15:50,73914.04,73968.25,73914.04,73965.89,11.0,816027,2934,79.7
04-15 15:51,73965.89,73991.28,73932.91,73968.02,11.2,830131,3017,46.8
04-15 15:52,73968.02,73977.14,73937.19,73971.99,5.9,438699,2955,32.3
04-15 15:53,73972.00,73972.00,73884.20,73913.44,5.0,371167,2634,22.7
04-15 15:54,73913.45,73913.45,73839.39,73839.40,3.9,285738,2022,23.8
04-15 15:55,73839.40,73839.40,73733.39,73759.99,14.7,1087648,4961,34.1
04-15 15:56,73760.00,73821.64,73744.99,73811.19,4.5,330102,2698,47.5
04-15 15:57,73811.18,73835.95,73811.18,73835.94,3.4,248094,1618,50.6
04-15 15:58,73835.94,73835.95,73793.77,73793.78,5.1,374572,2258,26.1
04-15 15:59,73793.77,73842.86,73792.00,73836.10,3.9,288844,1595,83.1
